name,company,image,for_gender,main accords,top notes,middle notes,base notes
Epione A Wing & A Prayer Perfumes,A Wing & A Prayer Perfumes,https://fimgs.net/mdimg/perfume/375x500.37016.jpg,for women,"{'floral': '100', 'white floral': '92.0565', 'amber': '82.1273', 'rose': '74.6808', 'citrus': '66.4891', 'tropical': '61.7729', 'vanilla': '54.3264', 'fresh': '47.3758', 'aromatic': '47.1276', 'lactonic': '45.8865'}",Neroli,"Rose, Jasmine, Frangipani","Tonka Bean, Amber"
WF/2020 A.N. Other,A. N. OTHER,https://fimgs.net/mdimg/perfume/375x500.78073.jpg,for women and men,"{'musky': '100', 'floral': '92.3912', 'woody': '75.6522', 'rose': '75.6522', 'warm spicy': '71.0868', 'leather': '63.478', 'citrus': '61.9566', 'patchouli': '60.4346', 'fresh spicy': '57.3912', 'powdery': '57.3912'}","Bergamot, Ambrette (Musk Mallow), Saffron","Rose, Pomegranate, Peony","Patchouli, Suede, Musk"
Charming Jasmine A'pieu,A'pieu,https://fimgs.net/mdimg/perfume/375x500.70232.jpg,for women,"{'citrus': '100', 'white floral': '100', 'fresh': '77.2501', 'floral': '75.5001', 'green': '63.2502', 'lavender': '47.4999'}","Mandarin Orange, Neroli, Bergamot","Jasmine, Lavender, Violet","Jasmine Tea, Musk"
Graceful Rose A'pieu,A'pieu,https://fimgs.net/mdimg/perfume/375x500.70236.jpg,for women,"{'citrus': '100', 'fresh spicy': '81.2193', 'rose': '81.2193', 'aromatic': '77.8047', 'green': '67.5611', 'floral': '45.3657', 'herbal': '45.3657'}","Bergamot, Geranium, Lemon",Bulgarian Rose,"Rose, Green Notes"
Lovely Peony A'pieu,A'pieu,https://fimgs.net/mdimg/perfume/375x500.70238.jpg,for women,"{'floral': '100', 'rose': '75.6522', 'fresh': '65.0001', 'white floral': '60.4349', 'fruity': '51.3045', 'leather': '51.3045', 'warm spicy': '51.3045', 'musky': '45.2173'}",Red Apple,"Peony, Carnation, Rose, Jasmine",Suede
Romantic Freesia A'pieu,A'pieu,https://fimgs.net/mdimg/perfume/375x500.70240.jpg,for women,"{'citrus': '100', 'floral': '54.8775', 'sweet': '54.0196', 'white floral': '48.8726', 'fresh': '48.8726', 'rose': '48.0147', 'fruity': '48.0147', 'patchouli': '47.1568', 'musky': '47.1568', 'green': '44.5835'}","Pear, Lemon, Orange, Lime, Tangerine","Freesia, Rose, Lily-of-the-Valley","Musk, Patchouli"
LILY OF THE VALLEY AAP PERFUMES,AAP PERFUMES,https://fimgs.net/mdimg/perfume/375x500.72078.jpg,for women,"{'white floral': '100', 'woody': '70.0002', 'powdery': '58.75', 'patchouli': '55.0001', 'tuberose': '55.0001', 'amber': '55.0001', 'musky': '55.0001', 'warm spicy': '52.5', 'fresh': '47.5002', 'animalic': '47.5002'}","Tuberose, Jasmine","Musk, Lily-of-the-Valley","Patchouli, Amber, Sandalwood"
MYSTERIES OF WOOD AAP PERFUMES,AAP PERFUMES,https://fimgs.net/mdimg/perfume/375x500.72079.jpg,for women,"{'powdery': '100', 'fruity': '84.0908', 'woody': '82.5003', 'violet': '77.7275', 'green': '66.9092', 'iris': '61.8183', 'rose': '61.8183', 'musky': '61.8183', 'floral': '60.2273'}","Peach, Green Notes, Black Currant","Rose, Iris","Musk, Cedar, Iris, Violet"
Amboise 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.33179.jpg,for men,"{'woody': '100', 'leather': '80.8547', 'amber': '80.2566', 'smoky': '73.9746', 'animalic': '59.4657', 'fruity': '58.4189', 'fresh spicy': '56.3246', 'citrus': '48.8461', 'balsamic': '47.9488', 'rose': '47.9488'}","Incense, Citruses, Rose","Pomegranate, Cedar","Leather, Amber, Musk"
Le Roi Soleil 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.55396.jpg,for men,"{'citrus': '100', 'fresh spicy': '70.7648', 'leather': '67.0588', 'aromatic': '64.5882', 'woody': '54.294', 'animalic': '48.5296', 'earthy': '48.1178', 'smoky': '44.4119'}","Grapefruit, Bergamot","Leather, Pepper","Vetiver, Patchouli, Incense"
Spellbinder 13th Floor Fragrance,13th Floor Fragrance,https://fimgs.net/mdimg/perfume/375x500.71142.jpg,for women and men,"{'woody': '100', 'amber': '98.5714', 'powdery': '85.7143', 'smoky': '75.7143', 'white floral': '72.8571', 'balsamic': '64.2857', 'warm spicy': '64.2857', 'sweet': '64.2857', 'violet': '61.4286', 'musky': '61'}","Blackberry, Bergamot, Tangerine, Rhubarb","Jasmine, Violet, Ylang-Ylang, Cardamom, Nutmeg","Incense, Cashmeran, Sandalwood, Tobacco, Cedar"
24 Elixir Platinum 24,24,https://fimgs.net/mdimg/perfume/375x500.31898.jpg,for women and men,"{'leather': '100', 'amber': '96.0336', 'smoky': '82.7333', 'animalic': '76.3166', 'woody': '73.6337', 'powdery': '67.217', 'citrus': '65', 'aromatic': '64.7667', 'herbal': '58.9332', 'musky': '55.6666'}","Incense, Lemon, Vermouth, Artemisia","Cedar, Amber, Chamomile, Apricot","Russian Leather, Vanilla, Musk"
Time to Draw the Raffle Numbers 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.26399.jpg,for women and men,"{'sweet': '100', 'leather': '64.6328', 'metallic': '57.2862', 'tobacco': '56.237', 'yellow floral': '53.6132', 'coffee': '50.9895', 'fruity': '50.2547', 'aromatic': '49.1006', 'woody': '49.1006', 'animalic': '47.3162'}","Marmalade, Metallic notes, Lime (Linden) Blossom, Wheat","Leather, Coffee, Croissant","Vetiver, Tobacco"
Juchten 4711,4711,https://fimgs.net/mdimg/perfume/375x500.61002.jpg,for women and men,"{'leather': '100', 'woody': '82.5003', 'mossy': '82.5003', 'animalic': '79.8751', 'earthy': '70.2499', 'tobacco': '65.0002', 'powdery': '57.1253', 'smoky': '54.5', 'amber': '51', 'sweet': '47.5001'}","Leather, Tobacco, Vetiver","Leather, Sandalwood, Jasmine, Rose, Patchouli","Oakmoss, Birch Tar, Civet, Amber"
SULTAN AAP PERFUMES,AAP PERFUMES,https://fimgs.net/mdimg/perfume/375x500.72081.jpg,for men,"{'woody': '100', 'aromatic': '91.8607', 'leather': '75.5811', 'powdery': '72.3257', 'citrus': '62.5581', 'fresh spicy': '62.5581', 'fruity': '62.5581', 'violet': '62.5581', 'warm spicy': '57.6743', 'earthy': '52.7906'}","Saffron, Grapefruit, Juniper Berries","Leather, Violet","Raspberry, Cashmeran, Vetiver"
Labo Abaco Paris,Abaco Paris,https://fimgs.net/mdimg/perfume/375x500.68873.jpg,for men,"{'woody': '100', 'leather': '64.793', 'powdery': '62.3077', 'warm spicy': '56.5089', 'iris': '54.852', 'violet': '50.71', 'amber': '46.5681'}","Cardamom, Violet","Sandalwood, Iris, Cedar","Leather, Papyrus, Ambroxan, White Musk"
Nuit Dorée Abaco Paris,Abaco Paris,https://fimgs.net/mdimg/perfume/375x500.67002.jpg,for women and men,"{'honey': '100', 'amber': '94.9998', 'iris': '94.9998', 'leather': '85.0001', 'woody': '83', 'patchouli': '74.9997', 'earthy': '73.9997', 'powdery': '72.4999', 'warm spicy': '71.9996', 'sweet': '65'}","Olibanum, Iris",Patchouli,"Honey, Leather"
Endeavor Abercrombie & Fitch,Abercrombie & Fitch,https://fimgs.net/mdimg/perfume/375x500.40776.jpg,for men,"{'citrus': '100', 'leather': '72', 'animalic': '50.9999', 'aromatic': '50.9999', 'fresh spicy': '46.8001'}",Bergamot,Lemon,Leather
1869 Acca Kappa,Acca Kappa,https://fimgs.net/mdimg/perfume/375x500.5778.jpg,for men,"{'ozonic': '100', 'aromatic': '97.271', 'fresh spicy': '92.768', 'leather': '90.039', 'aquatic': '81.5789', 'warm spicy': '79.8051', 'animalic': '78.8499', 'iris': '69.5712', 'amber': '61.384', 'rose': '61.384'}","Geranium, Cardamom","Violet Leaf, Leather, Iris","Ambergris, Vanilla"
1869 Eau de Parfum Acca Kappa,Acca Kappa,https://fimgs.net/mdimg/perfume/375x500.29340.jpg,for men,"{'aromatic': '100', 'fresh spicy': '77.3305', 'warm spicy': '69.0918', 'woody': '66.1614', 'earthy': '65.1658', 'ozonic': '63.6177', 'iris': '63.1753', 'amber': '58.8625', 'leather': '56.5403', 'aquatic': '54.7707'}","Cardamom, Geranium","Violet Leaves, Iris, Leather, Bay Leaf","Vetiver, Vanilla, Amber, Incense, Labdanum"
Luxury No 22 Acqua di Baviera,Acqua di Baviera,https://fimgs.net/mdimg/perfume/375x500.50080.jpg,for men,"{'warm spicy': '100', 'rose': '78.8371', 'amber': '78.8371', 'leather': '78.8371', 'aromatic': '68.2559', 'animalic': '60.9301', 'fresh spicy': '54.4188', 'smoky': '46.2793', 'mossy': '46.2793', 'floral': '44.6512'}","Cardamom, Cloves, Basil","Rose, Olibanum","Leather, Amber, Moss"
Leather Eau de Parfum Acqua di Parma,Acqua di Parma,https://fimgs.net/mdimg/perfume/375x500.55999.jpg,for women and men,"{'leather': '100', 'woody': '89.3193', 'citrus': '66.2527', 'animalic': '65.93', 'fruity': '63.0627', 'smoky': '58.1809', 'rose': '56.3726', 'sweet': '55.3912', 'aromatic': '52.2138'}","Raspberry, Brazilian Orange, Sicilian Lemon","Rose, Red Thyme, Honeysuckle, Petitgrain","Leather, Guaiac Wood, Cedar"
NUMERO TRE III Adamo Parfum,Adamo Parfum,https://fimgs.net/mdimg/perfume/375x500.82726.jpg,for women and men,"{'warm spicy': '100', 'amber': '92.139', 'smoky': '78.6632', 'leather': '61.4438', 'balsamic': '56.2031', 'aromatic': '44.9732', 'animalic': '44.2247'}","Cardamom, Saffron","Leather, Rhubarb","Incense, Amber"
Adidas Dare Adidas,Adidas,https://fimgs.net/mdimg/perfume/375x500.7202.jpg,for men,"{'citrus': '100', 'woody': '96.7686', 'rum': '81.6918', 'leather': '78.4611', 'fruity': '73.0771', 'vanilla': '70.3844', 'fresh spicy': '70.3844', 'powdery': '65.5383', 'lavender': '64.9997', 'green': '62.3076'}","Apple, Lime, Bergamot","Rum, Lavender","Leather, Sandalwood, Vanilla"
Diamant Adleen Haute Parfumerie,Adleen Haute Parfumerie,https://fimgs.net/mdimg/perfume/375x500.75431.jpg,for women and men,"{'woody': '100', 'amber': '96.9568', 'warm spicy': '89.3481', 'balsamic': '87.8265', 'fruity': '84.7826', 'sweet': '84.7826', 'vanilla': '81.7394', 'leather': '72.6091', 'aromatic': '66.522', 'floral': '66.522'}","Saffron, Raspberry, Hazelnut","Osmanthus, Turkish Rose, Agarwood (Oud), Tonka Bean","Indonesian Patchouli Leaf, Leather, Vanilla, Vetiver, Peru Balsam, Myrrh"
Cosmic Purple Adscenture,Adscenture,https://fimgs.net/mdimg/perfume/375x500.82515.jpg,for women and men,"{'aromatic': '100', 'tobacco': '86.0001', 'woody': '83.2001', 'rose': '72.0002', 'sweet': '70.6', 'green': '70.6', 'earthy': '63.6003', 'fruity': '60.8003', 'citrus': '60.0999', 'leather': '57.9998'}","Rhubarb, Lemon, Coffee","Tobacco, Rose, Pimento","Vetiver, Leather, Cedar"
Saffron Aether Arts Perfume,Aether Arts Perfume,https://fimgs.net/mdimg/perfume/375x500.40111.jpg,for women and men,"{'warm spicy': '100', 'nutty': '86.7567', 'sweet': '85.8104', 'leather': '84.8646', 'woody': '71.6213', 'fruity': '71.6213', 'powdery': '69.7298', 'amber': '67.8376', 'musky': '64.0539', 'tobacco': '60.2702'}","Peach, Saffron, Pink Pepper","Ylang-Ylang, Jasmine","Hazelnut, Suede, Amber, Turmeric, Vanilla, Tobacco"
Inara Black Afnan,Afnan,https://fimgs.net/mdimg/perfume/375x500.78546.jpg,for women and men,"{'leather': '100', 'woody': '71.9999', 'animalic': '69.9001', 'green': '58.0001', 'smoky': '51', 'warm spicy': '49.6001'}","Woodsy Notes, Aromatic Notes, Herbal Notes","Spicy Notes, Amber","Leather, Musk"
Naseej Al Oud Afnan,Afnan,https://fimgs.net/mdimg/perfume/375x500.78623.jpg,for women and men,"{'oud': '100', 'leather': '86.0003', 'soft spicy': '81.3334', 'woody': '60.3334', 'rose': '60.3334', 'animalic': '59.1669', 'fresh spicy': '55.667', 'citrus': '54.5', 'iris': '53.3335', 'white floral': '53.3335'}","Agarwood (Oud), Pink Pepper, Bergamot, Saffron","Woodsy Notes, Rose, Jasmine, Orris","Agarwood (Oud), Leather, Amber"
Rare Carbon Afnan,Afnan,https://fimgs.net/mdimg/perfume/375x500.66627.jpg,for men,"{'leather': '100', 'woody': '79.9946', 'powdery': '72', 'ozonic': '67.7997', 'animalic': '67.6525', 'violet': '63.1579', 'fresh spicy': '58.442', 'oud': '58', 'aquatic': '57.8523', 'rose': '56.5263'}","Leather, Violet Leaf, Nutmeg, Cinnamon","Violet, Agarwood (Oud), Rose, Cedar","Sandalwood, Amber, Vetiver"
Tobacco Rush Afnan,Afnan,https://fimgs.net/mdimg/perfume/375x500.75682.jpg,for women and men,"{'tobacco': '100', 'woody': '88.6487', 'sweet': '86.2836', 'warm spicy': '61.7838', 'oud': '58.3785', 'amber': '52.7025', 'whiskey': '44.0001'}","Tobacco, Spicy Notes, Woody Notes","Spicy Notes, Sweet Notes, Lavender","Agarwood (Oud), Amber, Cedar"
Awfa Ahmed Al Maghribi,Ahmed Al Maghribi,https://fimgs.net/mdimg/perfume/375x500.76282.jpg,for women and men,"{'amber': '100', 'earthy': '86.5834', 'woody': '85.4171', 'leather': '84.8333', 'aromatic': '83.6671', 'animalic': '81.917', 'mossy': '70.8336', 'musky': '67.3335', 'oud': '65.0003', 'caramel': '59.1671'}","Leather, Clary Sage, Orange Blossom","Labdanum, Caramel, Lily-of-the-Valley, Red Rose","Haitian Vetiver, Oakmoss, Indian Oud, Ambergris, Musk, Bourbon Vanilla"
serial mix - Black Leather Ahmed Mahsoub KARIZMA,Ahmed Mahsoub KARIZMA,https://fimgs.net/mdimg/perfume/375x500.91411.jpg,for men,"{'aromatic': '100', 'lavender': '80.0002', 'warm spicy': '72.5', 'fresh spicy': '70.0001', 'fruity': '67.5001', 'sweet': '57.5', 'herbal': '55.0001', 'metallic': '55.0001', 'aquatic': '49.9998', 'leather': '49.9998'}","Saffron, Thyme, Pear, Lavender","Olibanum, Ambrette, Iris","Leather, Cedar, Suede"
Scent of Forest Ainash Parfums,Ainash Parfums,https://fimgs.net/mdimg/perfume/375x500.80224.jpg,for men,"{'woody': '100', 'citrus': '70.0002', 'aromatic': '68.0001', 'powdery': '56', 'leather': '50.0001', 'patchouli': '50.0001', 'oud': '50.0001', 'musky': '50.0001', 'fresh spicy': '48', 'balsamic': '48'}","Bergamot, Orange","Agarwood (Oud), Amyris, Coriander","Leather, Cedar, Sandalwood, Musk, Patchouli"
Ambre Fruite Ajmal,Ajmal,https://fimgs.net/mdimg/perfume/375x500.18134.jpg,for women and men,"{'amber': '100', 'fresh spicy': '79.7502', 'warm spicy': '78.5003', 'leather': '63.75', 'citrus': '62.5001', 'animalic': '57.3752', 'patchouli': '54.9999', 'vanilla': '54.5002', 'aromatic': '51', 'cinnamon': '46.2503'}",Grapefruit,"Black Pepper, Tonka Bean, Patchouli, Cinnamon","Amber, Leather"
