name,company,image,for_gender,main accords,top notes,middle notes,base notes
Invisible Ben 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.26395.jpg,for women and men,"{'citrus': '100', 'woody': '81.6835', 'amber': '59.0502', 'sweet': '56.1335', 'balsamic': '50.3001', 'warm spicy': '47.9666'}","Lime, Orange, Cognac","Cashmere Wood, Sandalwood, Coffee","Opoponax, Resins"
The Buddhawood Box 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.41007.jpg,for women and men,"{'woody': '100', 'whiskey': '55.6879', 'smoky': '53.1192', 'floral': '51.6743', 'oud': '50.8715', 'amber': '50.0689', 'warm spicy': '45.4128', 'animalic': '44.1285'}",,,
Up The Apples & Pears 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.41016.jpg,for women and men,"{'woody': '100', 'fruity': '99.1536', 'green': '82.2742', 'whiskey': '69.516', 'fresh': '65.7904', 'aromatic': '57.097', 'aquatic': '52.129', 'sweet': '52.016'}","Apple, Pear, Hops, Gin","Whiskey, Woody Notes",Bread
We're Not Out Of The Woods Yet 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.81704.jpg,for women and men,"{'woody': '100', 'amber': '60.4348', 'earthy': '60.4348', 'musky': '60.4348', 'patchouli': '60.4348', 'powdery': '58.9131', 'aromatic': '51.3045', 'fruity': '48.261', 'warm spicy': '45.2174'}",,,
Lit 5 Sens,5 Sens,https://fimgs.net/mdimg/perfume/375x500.82949.jpg,for women and men,"{'smoky': '100', 'aromatic': '90.7895', 'woody': '79.7368', 'herbal': '75.1316', 'cannabis': '66.8421', 'citrus': '66.8421', 'green': '48.4211', 'soft spicy': '48.4211'}",,,
Twin Flame 5 Sens,5 Sens,https://fimgs.net/mdimg/perfume/375x500.82951.jpg,for women and men,"{'warm spicy': '100', 'woody': '80', 'ozonic': '75', 'aquatic': '68.3333', 'powdery': '63.3333', 'aromatic': '60', 'green': '50', 'musky': '46.6667'}",,,
A Bathing Ape A Bathing Ape,A Bathing Ape,https://fimgs.net/mdimg/perfume/375x500.36541.jpg,for women and men,"{'woody': '100', 'powdery': '65.0001', 'warm spicy': '58'}",,,
WD/18 A. N. OTHER,A. N. OTHER,https://fimgs.net/mdimg/perfume/375x500.47799.jpg,for women and men,"{'woody': '100', 'aromatic': '66.2203', 'warm spicy': '53.3334', 'powdery': '52.9916', 'aquatic': '48.1103', 'fruity': '45.3765', 'iris': '44.6444'}","Pear, Cardamom, Violet Leaf","Orris Root, Cypress, Amyris","Sandalwood, White Cedar Extract, Madagascar Vetiver"
FL/18 A.N. Other,A. N. OTHER,https://fimgs.net/mdimg/perfume/375x500.78068.jpg,for women and men,"{'leather': '100', 'amber': '96.6665', 'warm spicy': '87.5003', 'woody': '80.0002', 'white floral': '80.0002', 'aromatic': '76.6667', 'musky': '66.6668', 'animalic': '60.0003', 'metallic': '55.0001', 'fresh spicy': '53.3333'}","Saffron, Coton candy, elemi","Mate, Jasmine, Ambrette (Musk Mallow)","Leather, Amberwood, Cashmere Musk, Labdanum"
ADAM AAP PERFUMES,AAP PERFUMES,https://fimgs.net/mdimg/perfume/375x500.72084.jpg,for men,"{'fruity': '100', 'warm spicy': '68.7835', 'amber': '67.8377', 'woody': '66.892', 'sweet': '60.2703', 'fresh': '58.3783', 'leather': '56.4863', 'powdery': '55.5406', 'rose': '52.7028', 'patchouli': '48.9189'}","Raspberry, Saffron, Litchi","Turkish Rose, Olibanum, Red Berries, Red Currant, Violet","Agarwood (Oud), Leather, Patchouli, Amber, Sandalwood"
ATH x FM Smoulder Aaron Terence Hughes,Aaron Terence Hughes,https://fimgs.net/mdimg/perfume/375x500.84721.jpg,for women and men,"{'woody': '100', 'amber': '84.3476', 'warm spicy': '74.0215', 'fresh spicy': '61.5217', 'citrus': '57.1738', 'tobacco': '57.1738', 'powdery': '54.4565', 'balsamic': '53.9129', 'aromatic': '51.1957', 'patchouli': '46.3042'}","Neroli, Lemon","Olibanum, Tobacco","Olibanum, Sandalwood, Patchouli, Skin"
Cedarwood and Bergamot Aaron Terence Hughes,Aaron Terence Hughes,https://fimgs.net/mdimg/perfume/375x500.58432.jpg,for women and men,"{'citrus': '100', 'aromatic': '72.1795', 'woody': '66.9744', 'amber': '55.1282', 'white floral': '53.3332', 'fresh spicy': '49.7436', 'lavender': '47.9486', 'earthy': '47.2308'}","Mandarin Orange, Bergamot, Lavender, Neroli, Sicilian Lemon","Vetiver, Jasmine Sambac","Amber, Cedar"
Pantheon Abaco Paris,Abaco Paris,https://fimgs.net/mdimg/perfume/375x500.90316.jpg,for women and men,"{'woody': '100', 'amber': '59.9999', 'smoky': '56.6666', 'warm spicy': '56.6666', 'balsamic': '53.3333', 'powdery': '53.3333'}",,,
Triomphe Abaco Paris,Abaco Paris,https://fimgs.net/mdimg/perfume/375x500.90309.jpg,for women and men,"{'woody': '100', 'powdery': '94.1667', 'iris': '88.3333', 'vanilla': '88.3333', 'violet': '59.1667', 'earthy': '53.3333'}",,,
Oakmoss Abdes Salaam Attars Perfumes,Abdes Salaam Attars Perfumes,https://fimgs.net/mdimg/perfume/375x500.58222.jpg,for women and men,"{'amber': '100', 'citrus': '92', 'woody': '84.0001', 'fresh spicy': '72.9997', 'rose': '69.9999', 'white floral': '69.9999', 'warm spicy': '67', 'sweet': '53.9999', 'powdery': '49.9999', 'balsamic': '49.8998'}",,,
Mukhallat Thai-Zone Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.42373.jpg,for men,"{'woody': '100', 'oud': '78.1251', 'green': '73.7501', 'animalic': '63.6875'}",Bamboo,"Green Leaves, Woody Notes",Thailand Oud
Oud Borneo Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.42339.jpg,for men,"{'woody': '100', 'smoky': '77.6', 'oud': '72', 'patchouli': '60.8', 'vanilla': '55.2', 'warm spicy': '45.4001'}",Woody Notes,"Patchouli, Vanilla","Smoke, Agarwood (Oud), Woody Notes"
Oud Cambodi Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.36946.jpg,for men,"{'woody': '100', 'amber': '79.628', 'oud': '59.103', 'animalic': '56.8053', 'warm spicy': '54.5076', 'balsamic': '54.3546', 'sweet': '52.976', 'smoky': '48.3808'}","Resins, Agarwood (Oud), Incense","Woody Notes, Sweet Notes",Cambodian Oud
Oud Hindi Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.36947.jpg,for men,"{'oud': '100', 'leather': '82.5001', 'woody': '76.9002', 'earthy': '72', 'amber': '67.8', 'honey': '61.4999', 'animalic': '59.3999', 'balsamic': '46.8002', 'smoky': '45.75', 'sweet': '45.75'}","Earthy Notes, Woody Notes, Honey","Leather, Wood Resin",Indian Oud
Oud Hindi Royal Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.36945.jpg,for men,"{'oud': '100', 'woody': '86.8751', 'sweet': '79', 'honey': '69.375', 'fruity': '60.625', 'chocolate': '58.0001', 'warm spicy': '47.5001'}","Honey, Dark Chocolate","Woody Notes, Plum",Indian Oud
Oud Kalimantan Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.36943.jpg,for men,"{'woody': '100', 'oud': '80.6383', 'patchouli': '65.7445', 'amber': '64.8509', 'balsamic': '64.5532', 'warm spicy': '63.3615', 'smoky': '60.9785', 'vanilla': '59.7872', 'earthy': '44.298'}",Woody Notes,"Patchouli, Vanilla","Agarwood (Oud), Incense"
Safeer Al Oud Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.36941.jpg,for men,"{'sweet': '100', 'woody': '100', 'aromatic': '79.0001', 'fresh spicy': '65'}","Woody Notes, Green Notes","Mint, Woody Notes, Sweet Notes","Woody Notes, Green Notes"
Sheikh Al Faransi Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.36923.jpg,for men,"{'amber': '100', 'woody': '70', 'sweet': '65.8332', 'oud': '62.5001', 'animalic': '60.3332', 'floral': '54.1668', 'balsamic': '46.4168', 'powdery': '44.7918'}","Amber, Woody Notes","Ambergris, Sweet Notes, Floral Notes","Agarwood (Oud), Sandalwood"
Singapore Abdul Karim Al Faransi,Abdul Karim Al Faransi,https://fimgs.net/mdimg/perfume/375x500.36921.jpg,for men,"{'woody': '100', 'green': '65.2447', 'fresh spicy': '59.3706', 'oud': '56.923', 'white floral': '56.923', 'musky': '52.0281', 'aromatic': '50.5594', 'fresh': '49.8252', 'conifer': '48.8463'}","Fir, Herbal Notes, Jasmine","Bamboo, Woody Notes","Agarwood (Oud), Musk"
Sultry Woody Abdul Samad Al Qurashi,Abdul Samad Al Qurashi,https://fimgs.net/mdimg/perfume/375x500.21387.jpg,for women,"{'rose': '100', 'woody': '100', 'powdery': '44.0001'}",,,
Red Santal Abel,Abel,https://fimgs.net/mdimg/perfume/375x500.42979.jpg,for women and men,"{'warm spicy': '100', 'fresh spicy': '73.3119', 'woody': '54.5851', 'aromatic': '52.6323', 'citrus': '44.3204'}","Cloves, Black and Pink Pepper","Ginger, Thyme, Bergamot","Sandalwood, Australian Sandalwood"
Madeira do Oriente Classic Abelha Rainha,Abelha Rainha,https://fimgs.net/mdimg/perfume/375x500.63370.jpg,for men,"{'woody': '100', 'musky': '68.4998', 'warm spicy': '68.4998', 'fresh spicy': '65', 'amber': '62.6667', 'powdery': '59.7498'}","Oriental notes, Spices","Pepper, Myrrh, Woodsy Notes","Cedar, Musk, Amber, Guaiac Wood"
Batch No. 46 Abercrombie & Fitch,Abercrombie & Fitch,https://fimgs.net/mdimg/perfume/375x500.38010.jpg,for men,"{'musky': '100', 'woody': '82.5', 'amber': '73.75', 'powdery': '73.75', 'animalic': '66.7499'}",,,
Hempstead Abercrombie & Fitch,Abercrombie & Fitch,https://fimgs.net/mdimg/perfume/375x500.56801.jpg,for men,"{'woody': '100', 'aromatic': '90.6007', 'earthy': '53.7457', 'fresh spicy': '48.7985'}",,,
Chocolate Oud Abu Zari Fragrances,Abu Zari Fragrances,https://fimgs.net/mdimg/perfume/375x500.66319.jpg,for women and men,"{'cacao': '100', 'musky': '100', 'woody': '100', 'warm spicy': '72', 'powdery': '65', 'sweet': '51'}",,,
Idillio Acca Kappa,Acca Kappa,https://fimgs.net/mdimg/perfume/375x500.43060.jpg,for women and men,"{'woody': '100', 'amber': '74.8718', 'patchouli': '65.8974', 'warm spicy': '58.7181', 'powdery': '53.3333', 'balsamic': '46.6588', 'animalic': '44.4713', 'earthy': '44.3589'}","Rose, Sage, Chamomile","Patchouli, Sandalwood, Cedar, Amberwood","Amber, Leather, Vanilla, Tonka Bean, Musk"
Heliotrope & Santal Accord Parfait,Accord Parfait,https://fimgs.net/mdimg/perfume/375x500.4083.jpg,for women and men,"{'powdery': '100', 'vanilla': '74.5454', 'woody': '68.1818', 'almond': '61.8182', 'floral': '49.091', 'warm spicy': '45.2726'}",,,
Patchouli & Musc Blanc Accord Parfait,Accord Parfait,https://fimgs.net/mdimg/perfume/375x500.4081.jpg,for women and men,"{'patchouli': '100', 'woody': '72.0001', 'warm spicy': '65', 'earthy': '58.0001', 'musky': '58.0001', 'balsamic': '51', 'powdery': '44'}",,,
Hygge New Year 23 Acidica Perfumes,Acidica Perfumes,https://fimgs.net/mdimg/perfume/375x500.78972.jpg,for women and men,"{'woody': '100', 'fresh': '65', 'aromatic': '48.9584', 'aquatic': '47.5002', 'conifer': '45.3125', 'whiskey': '44.5834', 'citrus': '44.5834', 'amber': '44.5834', 'patchouli': '44.5834', 'musky': '44.5834'}",,,
Tree (Дерево) Acidica Perfumes,Acidica Perfumes,https://fimgs.net/mdimg/perfume/375x500.57495.jpg,for women and men,"{'woody': '100', 'green': '55.4547', 'aromatic': '51.8182', 'balsamic': '51.8182', 'patchouli': '48.1819', 'floral': '46.3638', 'warm spicy': '46.3638', 'amber': '46.3638', 'fruity': '44.5454', 'smoky': '44.5454'}",,,
Terre de Cèdre Acorelle,Acorelle,https://fimgs.net/mdimg/perfume/375x500.25179.jpg,for women and men,"{'woody': '100', 'citrus': '76.9072', 'aromatic': '66.6238', 'earthy': '55.9795', 'leather': '55.2578', 'fresh': '53.4536'}",,,
Colonia Ebano Acqua di Parma,Acqua di Parma,https://fimgs.net/mdimg/perfume/375x500.43409.jpg,for men,"{'woody': '100', 'warm spicy': '65.5103', 'honey': '54.4514', 'amber': '53.0155', 'aromatic': '52.4995', 'citrus': '49.1796', 'earthy': '46.7793', 'balsamic': '46.084', 'patchouli': '44.3566'}","Resins, Red Pepper, Petitgrain, Bergamot","Ebony, Honey","Vetiver, Patchouli"
Colonia Intensa Acqua di Parma,Acqua di Parma,https://fimgs.net/mdimg/perfume/375x500.1684.jpg,for men,"{'citrus': '100', 'warm spicy': '78.8046', 'aromatic': '62.8623', 'woody': '58.3199', 'fresh': '54.4313', 'fresh spicy': '52.989', 'amber': '51.4425', 'leather': '45.2697'}","Calabrian bergamot, Ginger, Cardamom, Sicilian Lemon","Neroli, Artemisia, Myrtle","Leather, Cedar, Benzoin, Musk, Patchouli"
Colonia Intensa Oud Eau de Cologne Concentree Acqua di Parma,Acqua di Parma,https://fimgs.net/mdimg/perfume/375x500.15519.jpg,for men,"{'oud': '100', 'leather': '82.7418', 'citrus': '77.2579', 'aromatic': '71.1692', 'animalic': '59.4435', 'fresh': '53.6291', 'fresh spicy': '53.4517', 'woody': '51.2903', 'musky': '50.4837', 'smoky': '45.8225'}",Citruses,"Agarwood (Oud), Coriander, Amyris","Leather, Musk"
Cedre Royal Acqua Reale,Acqua Reale,https://fimgs.net/mdimg/perfume/375x500.17080.jpg,for men,"{'woody': '100', 'citrus': '61.8182', 'aromatic': '61.2878', 'earthy': '53.3333', 'leather': '51.212', 'powdery': '47.4998', 'smoky': '46.9698'}","Pink Pepper, Bergamot, Citruses, Florida Grapefruit","Himalayan Cedar, Vetiver, Birch, Patchouli","Vanila, Amber, Musk"
Dilema Adi Ale Van,Adi Ale Van,https://fimgs.net/mdimg/perfume/375x500.68886.jpg,for women and men,"{'woody': '100', 'leather': '92.978', 'warm spicy': '71.0345', 'amber': '64.5611', 'patchouli': '55.2352', 'balsamic': '53.8635', 'animalic': '52.4921', 'sweet': '47.2257'}","Saffron, Bergamot","Myrrh, Licorice","Leather, Papyrus, Woody Notes, Patchouli"
Ormolu Penhaligon's,Penhaligon's,https://fimgs.net/mdimg/perfume/375x500.92288.jpg,for women,"{'woody': '100', 'powdery': '100', 'floral': '82.0514', 'green': '73.077', 'citrus': '67.6919', 'mossy': '65.8973', 'yellow floral': '65.8973', 'white floral': '65.8973', 'violet': '65.8973', 'rose': '65.8973'}","Bergamot, Mugwort, Chamomile, Herbal Notes","Rose, Jasmine, Ylang-Ylang, Violet","Amber, Sandalwood, Oakmoss, Musk"
Luna Penhaligon's,Penhaligon's,https://fimgs.net/mdimg/perfume/375x500.38351.jpg,for women and men,"{'citrus': '100', 'aromatic': '75.4444', 'fresh spicy': '67.318', 'rose': '59.7535', 'woody': '54.7863', 'fresh': '48.8464', 'floral': '44.2067'}","Lemon, Bergamot, Bitter Orange","Rose, Juniper Berries, Jasmine","Balsam Fir, Musk, Ambergris"
Sakura Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.48379.jpg,for women and men,"{'floral': '100', 'powdery': '63.7096', 'fresh': '60.7724', 'green': '55.2989', 'rose': '52.6956', 'musky': '48.9128', 'violet': '48.2454', 'yellow floral': '47.2218'}",Green Notes,"Japanese Cherry Blossom, Rose, Jasmine, Hedione","Mimosa, White Musk, Violet"
Miss Dior Blooming Bouquet Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.23280.jpg,for women,"{'floral': '100', 'rose': '99.1205', 'fresh': '76.3659', 'fruity': '61.6124', 'musky': '56.4604', 'citrus': '53.8821', 'powdery': '53.7441', 'sweet': '45.2924'}",Sicilian Mandarin,"Pink Peony, Damask Rose, Apricot, Peach",White Musk
Miss Dior Blooming Bouquet (2023) Dior,Dior,https://fimgs.net/mdimg/perfume/375x500.78945.jpg,for women,"{'floral': '100', 'rose': '71.5638', 'fresh': '61.3983', 'musky': '50.721', 'citrus': '50.3553', 'sweet': '46.2599'}","Sweet Pea, Bergamot","Peony, Damask Rose",White Musk
Potpourri Santa Maria Novella,Santa Maria Novella,https://fimgs.net/mdimg/perfume/375x500.11483.jpg,for women and men,"{'aromatic': '100', 'fresh spicy': '97.4803', 'warm spicy': '68.6638', 'woody': '67.4183', 'balsamic': '56.2681', 'patchouli': '47.0872', 'amber': '46.9136', 'lavender': '45.929', 'camphor': '44.6255'}","Laurels, Bergamot, Bitter Orange","Cloves, Thyme, Rosemary, Lavender","Peru Balsam, Patchouli, Cedar"
Angels of Florence Santa Maria Novella,Santa Maria Novella,https://fimgs.net/mdimg/perfume/375x500.11420.jpg,for women,"{'white floral': '100', 'fruity': '89.9905', 'ozonic': '85.6731', 'aromatic': '79.8832', 'sweet': '79.3273', 'aquatic': '76.5793', 'citrus': '73.3087', 'woody': '71.2803', 'green': '70.5869', 'floral': '69.5791'}","Lime, Gardenia, African Orange Flower, Geranium, Lilac, Jasmine, Rose, Ylang-Ylang, Cyclamen","Violet Leaf, Melon, Peach, Cassis, Plum","Vetiver, Musk, Vanille, Sandalwood"
